dagger,month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
f1,sep,102,23.09.2023,01:30:00,10.75,8.875,8.6875,1504,202
f1,sep,103,23.09.2023,01:45:00,10.75,8.875,8.75,1506,202
f1,sep,104,23.09.2023,02:00:00,10.75,8.5,8.5625,1507,202
f1,sep,105,23.09.2023,02:15:00,10.75,8.375,8.25,1510,202
f1,sep,106,23.09.2023,02:30:00,10.6875,8.0625,7.9375,1542,202
f1,sep,107,23.09.2023,02:45:00,10.625,7.9375,7.75,1569,202
f1,sep,108,23.09.2023,03:00:00,10.5625,7.625,7.4375,1575,202
f1,sep,109,23.09.2023,03:15:00,10.5,7.5,7.375,1579,202
f1,sep,110,23.09.2023,03:30:00,10.4375,7.4375,7.25,1581,202
f1,sep,111,23.09.2023,03:45:00,10.375,7.5,7.375,1582,202
f1,sep,112,23.09.2023,04:00:00,10.375,7.5,7.4375,1582,202
f1,sep,113,23.09.2023,04:15:00,10.3125,7.4375,7.5,1584,202
f1,sep,114,23.09.2023,04:30:00,10.25,7.3125,7.25,1590,202
f1,sep,115,23.09.2023,04:45:00,10.25,7.375,7.25,1591,202
f1,sep,116,23.09.2023,05:00:00,10.1875,7.375,7.25,1593,202
f1,sep,117,23.09.2023,05:15:00,10.125,7.3125,7.125,1594,202
f1,sep,118,23.09.2023,05:30:00,10.125,7.4375,7.125,1594,202
f1,sep,119,23.09.2023,05:45:00,10.125,7.4375,7.125,1595,202
f1,sep,120,23.09.2023,06:00:00,10.0625,7.5,7.25,1595,202
f1,sep,121,23.09.2023,06:15:00,10.0625,7.5,7.125,1595,202
f1,sep,122,23.09.2023,06:30:00,10.0625,7.5,7.1875,1595,202
f1,sep,123,23.09.2023,06:45:00,10,7.625,7.375,1595,202
f1,sep,124,23.09.2023,07:00:00,10,7.9375,7.6875,1595,202
f1,sep,125,23.09.2023,07:15:00,10.0625,8.25,8,1596,202
f1,sep,126,23.09.2023,07:30:00,10.125,8.625,8.375,1596,202
f1,sep,127,23.09.2023,07:45:00,10.1875,9.1875,9,1598,202
f1,sep,128,23.09.2023,08:00:00,10.25,9.875,9.5625,1598,202
f1,sep,129,23.09.2023,08:15:00,10.375,10.125,9.625,1599,202
f1,sep,130,23.09.2023,08:30:00,10.5,10,9.4375,1598,202
f1,sep,131,23.09.2023,08:45:00,10.625,10.125,9.5,1597,202
f1,sep,132,23.09.2023,09:00:00,10.6875,10.5,9.9375,1598,202
f1,sep,133,23.09.2023,09:15:00,10.8125,11.125,10.4375,1599,202
f1,sep,134,23.09.2023,09:30:00,11,11.125,10.375,1598,202
f1,sep,135,23.09.2023,09:45:00,11.125,11.375,10.625,1598,202
f1,sep,136,23.09.2023,10:00:00,11.25,11.5,10.75,1597,202
f1,sep,137,23.09.2023,10:15:00,11.375,12.5,11.5,1597,202
f1,sep,138,23.09.2023,10:30:00,11.5,12.875,11.75,1596,202
f1,sep,139,23.09.2023,10:45:00,11.6875,14.8125,13.375,1598,202
f1,sep,140,23.09.2023,11:00:00,12,15,13.25,1595,202
f1,sep,141,23.09.2023,11:15:00,12.25,13.6875,12,1589,202
f1,sep,142,23.09.2023,11:30:00,12.375,12.875,11.5,1586,202
f1,sep,143,23.09.2023,11:45:00,12.5,13.375,12.25,1585,202
f1,sep,144,23.09.2023,12:00:00,12.5625,13.125,12.0625,1583,202
f1,sep,145,23.09.2023,12:15:00,12.625,13.75,12.5,1584,202
f1,sep,146,23.09.2023,12:30:00,12.75,14.25,12.8125,1583,202
f1,sep,147,23.09.2023,12:45:00,12.9375,13.75,12.6875,1581,202
f1,sep,148,23.09.2023,13:00:00,13,11.75,11,1579,202
f1,sep,149,23.09.2023,13:15:00,13,12,11.4375,1590,202
f1,sep,150,23.09.2023,13:30:00,13,12.5625,11.9375,1591,202
f1,sep,151,23.09.2023,13:45:00,13.125,12.375,11.625,1588,202
f1,sep,152,23.09.2023,14:00:00,13.125,12.125,11.625,1586,202
f1,sep,153,23.09.2023,14:15:00,13.0625,12.75,12.125,1582,202
f1,sep,154,23.09.2023,14:30:00,13.0625,13.3125,12.625,1580,202
f1,sep,155,23.09.2023,14:45:00,13.0625,14,13.0625,1577,202
f1,sep,156,23.09.2023,15:00:00,13.0625,12.3125,11.75,1568,202
f1,sep,157,23.09.2023,15:15:00,13,12.125,11.75,1563,202
f1,sep,158,23.09.2023,15:30:00,12.875,12.625,12.0625,1561,202
f1,sep,159,23.09.2023,15:45:00,12.875,12.125,11.75,1558,202
f1,sep,160,23.09.2023,16:00:00,12.75,12,11.625,1555,202
f1,sep,161,23.09.2023,16:15:00,12.75,12.125,12.0625,1552,202
f1,sep,162,23.09.2023,16:30:00,12.625,12.3125,12.1875,1551,202
f1,sep,163,23.09.2023,16:45:00,12.5625,11.3125,11.1875,1548,202
f1,sep,164,23.09.2023,17:00:00,12.5,11.1875,11.375,1537,202
f1,sep,165,23.09.2023,17:15:00,12.375,10.8125,10.875,1535,202
f1,sep,166,23.09.2023,17:30:00,12.375,10.1875,10.3125,1533,202
f1,sep,167,23.09.2023,17:45:00,12.1875,9.625,9.75,1531,202
f1,sep,168,23.09.2023,18:00:00,12,9,9.125,1529,202
f1,sep,169,23.09.2023,18:15:00,11.875,8.875,9,1527,202
f1,sep,170,23.09.2023,18:30:00,11.75,8.5,8.75,1527,202
f1,sep,171,23.09.2023,18:45:00,11.625,8.5625,9.0625,1525,202
f1,sep,172,23.09.2023,19:00:00,11.4375,8.0625,8.375,1525,202
f1,sep,173,23.09.2023,19:15:00,11.3125,8.125,8.375,1526,202
f1,sep,174,23.09.2023,19:30:00,11.1875,8.375,8.4375,1527,202
f1,sep,175,23.09.2023,19:45:00,11.125,8.5,8.4375,1526,202
f1,sep,176,23.09.2023,20:00:00,11.0625,8.625,8.6875,1526,202
f1,sep,177,23.09.2023,20:15:00,11,8.6875,8.625,1526,202
f1,sep,178,23.09.2023,20:30:00,11,8.75,8.625,1527,202
f1,sep,179,23.09.2023,20:45:00,10.9375,8.8125,8.625,1528,202
f1,sep,180,23.09.2023,21:00:00,10.9375,8.9375,9,1527,202
f1,sep,181,23.09.2023,21:15:00,10.875,9.3125,9.625,1528,202
f1,sep,182,23.09.2023,21:30:00,10.875,9.5,9.875,1527,202
f1,sep,183,23.09.2023,21:45:00,10.8125,9.625,10,1527,202
f1,sep,184,23.09.2023,22:00:00,10.75,9.75,10.125,1527,202
f1,sep,185,23.09.2023,22:15:00,10.75,9.75,10.0625,1526,202
f1,sep,186,23.09.2023,22:30:00,10.75,9.875,10.25,1526,202
f1,sep,187,23.09.2023,22:45:00,10.6875,9.875,10.25,1524,202
f1,sep,188,23.09.2023,23:00:00,10.625,9.375,9.625,1522,202
f1,sep,189,23.09.2023,23:15:00,10.625,9.375,9.875,1522,202
f1,sep,190,23.09.2023,23:30:00,10.625,9.1875,9.75,1523,202
f1,sep,191,23.09.2023,23:45:00,10.625,9.125,9.625,1530,202
f1,sep,192,24.09.2023,00:00:00,10.625,9.0625,9.5,1548,202
f1,sep,193,24.09.2023,00:15:00,10.5,9.125,9.5,1561,202
f1,sep,194,24.09.2023,00:30:00,10.5,9.125,9.375,1654,202
f1,sep,195,24.09.2023,00:45:00,10.5,9.125,9.3125,1806,202
f1,sep,196,24.09.2023,01:00:00,10.5,9.1875,9.3125,1835,202
f1,sep,197,24.09.2023,01:15:00,10.5,9.25,9.375,1816,202
f1,sep,198,24.09.2023,01:30:00,10.5,9.5,9.75,1803,202
f1,sep,199,24.09.2023,01:45:00,10.5,9.5625,10,1794,202
f1,sep,200,24.09.2023,02:00:00,10.5,9.5,10,1786,202
f1,sep,201,24.09.2023,02:15:00,10.5,9.4375,10.0625,1832,202
f1,sep,202,24.09.2023,02:30:00,10.4375,9.6875,10.375,1809,202
f1,sep,203,24.09.2023,02:45:00,10.4375,10.25,10.875,1790,202
f1,sep,204,24.09.2023,03:00:00,10.5,10.25,11,1766,202
f1,sep,205,24.09.2023,03:15:00,10.5,10.4375,11.125,1762,202
f1,sep,206,24.09.2023,03:30:00,10.5,10.125,10.875,1758,202
f1,sep,207,24.09.2023,03:45:00,10.5,10.1875,10.9375,1756,202
f1,sep,208,24.09.2023,04:00:00,10.5,10.625,11.375,1755,202
f1,sep,209,24.09.2023,04:15:00,10.5,11.0625,11.75,1754,202
f1,sep,210,24.09.2023,04:30:00,10.625,11.125,11.625,1754,202
f1,sep,211,24.09.2023,04:45:00,10.625,11,11.625,1751,202
f1,sep,212,24.09.2023,05:00:00,10.6875,11.25,11.875,1749,202
f1,sep,213,24.09.2023,05:15:00,10.75,11.5,12.125,1748,202
f1,sep,214,24.09.2023,05:30:00,10.8125,11.625,12.25,1746,202
f1,sep,215,24.09.2023,05:45:00,10.875,11.8125,12.375,1746,202
